q-crq|vbz Who's
a-acp there
, ,
n1 truepenny
? ?
vvb Come
a-acp on
— —
pn22 you
vvb hear
d this
n1 fellow
p-acp in
dt the
n1 cellarage
vvb Consent
pc-acp to
vvi swear
. .
vvb Propose
dt the
n1 oath
, ,
po11 my
n1 lord
. .
av-x Never
pc-acp to
vvi speak
pp-f of
d this
cst that
pn22 you
vhb have
vvn seen
, ,
vvb Swear
p-acp by
po11 my
n1 sword
. .
vvb Swear
. .
fw-la Hic
fw-la et
fw-la ubique
? ?
av then
pns12|vmb we'll
vvi shift
po12 our
n1 ground
. .
vvb Come
av hither
, ,
n2 gentlemen
, ,
cc And
vvb lay
po22 your
n2 hands
av again
p-acp upon
po11 my
n1 sword
: :
vvb Swear
p-acp by
po11 my
n1 sword
av-x Never
pc-acp to
vvi speak
pp-f of
d this
cst that
pn22 you
vhb have
vvn heard
, ,
vvb Swear
p-acp by
po31 his
n1 sword
. .
av Well
vvn said
, ,
j old
n1 mole
! !
vm2 canst
vvi work
p-acp i'
dt the
n1 earth
av so
av-j fast
? ?
dt A
j-jn worthy
n1 pioner
! !
a-acp Once
av-dc more
vvb remove
, ,
j good
n2 friends
. .
uh O
n1 day
cc and
n1 night
, ,
cc-acp but
d this
vbz is
j wondrous
j strange
! !
cc And
av therefore
p-acp as
dt a
n1 stranger
vvb give
pn31 it
n-jn welcome
. .
pc-acp There
vbb are
dc more
n2 things
p-acp in
n1 heaven
cc and
n1 earth
, ,
np1 Horatio
, ,
cs Than
vbb are
vvn dreamt
pp-f of
p-acp in
po22 your
n1 philosophy
. .
cc-acp But
vvb come
; ;
av Here
, ,
c-acp as
a-acp before
, ,
av-x never
, ,
av so
vvb help
pn22 you
n1 mercy
, ,
c-crq How
j strange
cc or
j odd
av soe'er
pns11 I
vvb bear
px11 myself
, ,
c-acp As
pns11 I
av perchance
av hereafter
vmb shall
vvi think
j meet
pc-acp To
vvi put
dt an
j-jn antic
n1 disposition
a-acp on
, ,
cst That
pn22 you
, ,
pp at
d such
n2 times
vvg seeing
pno11 me
, ,
av-x never
vmb shall
, ,
pp With
n2 arms
vvn encumbered
av thus
, ,
cc or
d this
n1 headshake
, ,
cc Or
p-acp by
vvg pronouncing
pp-f of
d some
j doubtful
n1 phrase
, ,
c-acp As
“ “
av Well
, ,
uh-av well
, ,
pns12 we
vvb know
, ,
” ”
cc or
“ “
pns12 We
vmd could
, ,
cs an
cs if
pns12 we
vmd would
, ,
” ”
cc Or
“ “
cs If
pns12 we
vvb list
pc-acp to
vvi speak
, ,
” ”
cc or
“ “
pc-acp There
vbb be
, ,
cs an
cs if
pns32 they
vmd might
, ,
” ”
cc Or
d such
j ambiguous
vvg giving
av out
, ,
pc-acp to
vvi note
cst That
pn22 you
vvb know
pi aught
pp-f of
pno11 me
: :
d this
vdb do
vvi swear
, ,
av So
n1 grace
cc and
n1 mercy
pp at
po22 your
av-ds most
vvb need
vvb help
pn22 you
. .
vvb Swear
. .
vvb Rest
, ,
vvb rest
, ,
j-vvn perturbed
n1 spirit
! !
av So
, ,
n2 gentlemen
, ,
pp With
d all
po11 my
n1 love
pns11 I
vdb do
vvi commend
pno11 me
p-acp to
pn22 you
: :
cc And
q-crq what
av so
j poor
dt a
n1 man
c-acp as
np1 Hamlet
vbz is
vmb May
vdi do
, ,
pc-acp to
vvi express
po31 his
n1 love
cc and
vvg friending
p-acp to
pn22 you
, ,
np1 God
vvg willing
, ,
vmb shall
xx not
vvi lack
. .
vvb Let
pno12 us
vvi go
p-acp in
av together
; ;
cc And
av still
po22 your
n2 fingers
p-acp on
po22 your
n2 lips
, ,
pns11 I
vvb pray
. .
dt The
n1 time
vbz is
av out
pp-f of
n1 joint
: :
uh O
j-vvn cursed
n1 spite
, ,
cst That
av ever
pns11 I
vbd was
vvn born
pc-acp to
vvi set
pn31 it
av-jn right
! !
uh Nay
, ,
vvb come
, ,
vvb|pno12 let's
vvi go
av together
. .
vvb Give
pno31 him
d this
n1 money
cc and
d these
n2 notes
, ,
np1 Reynaldo
. .
pns11 I
vmb will
, ,
po11 my
n1 lord
. .
pn22 You
vmb shall
vdi do
j marvellous
av-j wisely
, ,
j good
np1 Reynaldo
, ,
c-acp Before
pn22 you
vvb visit
pno31 him
, ,
pc-acp to
vvi make
vvi inquire
pp-f Of
po31 his
n1 behaviour
. .
po11 My
n1 lord
, ,
pns11 I
vdd did
vvi intend
pn31 it
. .
uh Marry
, ,
av well
vvn said
; ;
av very
av well
vvn said
. .
vvb Look
pn22 you
, ,
n1 sir
, ,
vvb Inquire
pno11 me
ord first
r-crq what
np2 Danskers
vbb are
p-acp in
np1 Paris
; ;
cc And
c-crq how
, ,
cc and
r-crq who
, ,
r-crq what
n2 means
, ,
cc and
c-crq where
pns32 they
vvb keep
, ,
q-crq What
n1 company
, ,
pp at
q-crq what
n1 expense
; ;
cc and
vvg finding
p-acp By
d this
n1 encompassment
cc and
n1 drift
pp-f of
n1 question
cst That
pns32 they
vdb do
vvi know
po11 my
n1 son
, ,
vvb come
pn22 you
av-dc more
av-jc nearer
cs Than
po22 your
j particular
n2 demands
vmb will
vvi touch
pn31 it
: :
vvb Take
pn22 you
, ,
c-acp as
pn31|vbd 'twere
, ,
d some
j distant
n1 knowledge
pp-f of
pno31 him
; ;
c-acp As
av thus
, ,
“ “
pns11 I
vvb know
po31 his
n1 father
cc and
po31 his
n2 friends
, ,
cc And
p-acp in
n1 part
pno31 him
: :
” ”
vdb do
pn22 you
vvi mark
d this
, ,
np1 Reynaldo
? ?
uh Ay
, ,
av very
av well
, ,
po11 my
n1 lord
. .
“ “
cc And
p-acp in
n1 part
pno31 him
; ;
cc-acp but
pn22 you
vmb may
vvi say
“ “
xx not
av well
: :
cc-acp But
, ,
cs|pn31 if't
vbb be
pns31 he
pns11 I
vvb mean
, ,
pns31|vbz he's
av very
j wild
; ;
vvn Addicted
av so
cc and
av so
: :
” ”
cc and
pc-acp there
vvn put
p-acp on
pno31 him
q-crq What
n2 forgeries
pn22 you
vvb please
; ;
uh marry
, ,
pix none
av so
j rank
c-acp As
vmb may
vvi dishonour
pno31 him
; ;
vvb take
n1 heed
pp-f of
d that
; ;
cc-acp But
, ,
n1 sir
, ,
d such
j-jn wanton
, ,
j wild
cc and
j usual
n2 slips
c-acp As
vbb are
n2 companions
vvn noted
cc and
av-ds most
vvn known
p-acp To
n1 youth
cc and
n1 liberty
. .
c-acp As
n-vvg gaming
, ,
po11 my
n1 lord
. .
uh Ay
, ,
cc or
vvg drinking
, ,
n-vvg fencing
, ,
n-vvg swearing
, ,
vvg quarrelling
, ,
vvg Drabbing
: :
pn22 you
vmb may
vvi go
av so
av-j far
. .
po11 My
n1 lord
, ,
d that
vmd would
vvi dishonour
pno31 him
. .
uh-n 'Faith
, ,
c-acp as
pn22 you
vmb may
vvi season
pn31 it
p-acp in
dt the
n1 charge
. .
pn22 You
vmb must
xx not
vvi put
j-jn another
n1 scandal
p-acp on
pno31 him
, ,
cst That
pns31 he
vbz is
j open
p-acp to
n1 incontinency
; ;
d|vbz That's
xx not
po11 my
n1 meaning
; ;
cc-acp but
vvb breathe
po31 his
n2 faults
av so
av-j quaintly
cst That
pns32 they
vmb may
vvi seem
dt the
n2 taints
pp-f of
n1 liberty
, ,
dt The
n1 flash
cc and
n1 outbreak
pp-f of
dt a
j fiery
n1 mind
, ,
dt A
n1 savageness
p-acp in
j unreclaimed
n1 blood
, ,
pp-f Of
j general
n1 assault
. .
cc-acp But
, ,
po11 my
j good
n1 lord
, ,
q-crq Wherefore
vmd should
pn22 you
vdi do
d this
? ?
uh Ay
, ,
po11 my
n1 lord
, ,
pns11 I
vmd would
vvi know
d that
. .
uh Marry
, ,
n1 sir
, ,
av|vbz here's
po11 my
n1 drift
; ;
cc And
, ,
pns11 I
vvb believe
, ,
pn31 it
vbz is
dt a
n1 fetch
pp-f of
n1 wit
: :
pn22 You
vvg laying
d these
j slight
n2 sullies
p-acp on
po11 my
n1 son
, ,
c-acp As
pn31|vbd 'twere
dt a
n1 thing
dt a
av-j little
vvn soiled
pp wi'
dt the
vvg working
, ,
vvb Mark
pn22 you
, ,
po22 Your
n1 party
p-acp in
n1 converse
, ,
pno31 him
pn22 you
vmd would
vvi sound
, ,
vhg Having
av ever
vvn seen
p-acp in
dt the
j-vvn prenominate
n2 crimes
dt The
n1 youth
pn22 you
vvb breathe
pp-f of
j guilty
, ,
vbb be
vvn assured
pns31 He
vvz closes
pp with
pn22 you
p-acp in
d this
n1 consequence
; ;
“ “
j Good
n1 sir
, ,
” ”
cc or
av so
, ,
cc or
“ “
n1 friend
, ,
” ”
cc or
“ “
n1 gentleman
, ,
” ”
vvg According
p-acp to
dt the
n1 phrase
cc or
dt the
n1 addition
pp-f Of
n1 man
cc and
n1 country
. .
av Very
j good
, ,
po11 my
n1 lord
. .
cc And
av then
, ,
n1 sir
, ,
vdz does
pns31 'a
d this
, ,
pns31 'a
vdz does
r-crq what
vbd was
pns11 I
a-acp about
pc-acp to
vvi say
? ?
p-acp By
dt the
n1 mass
, ,
pns11 I
vbd was
a-acp about
pc-acp to
vvi say
pi something
: :
q-crq where
vdd did
pns11 I
vvi leave
? ?
pp At
“ “
vvz closes
p-acp in
dt the
n1 consequence
. .
” ”
pp At
“ “
vvz closes
p-acp in
dt the
n1 consequence
, ,
” ”
uh ay
, ,
uh marry
; ;
pns31 He
vvz closes
av thus
: :
“ “
pns11 I
vvb know
dt the
n1 gentleman
; ;
pns11 I
vvd saw
pno31 him
av-an yesterday
, ,
cc or
dt t'
j-jn other
n1 day
, ,
cc Or
av then
, ,
cc or
av then
; ;
pp with
d such
, ,
cc or
d such
; ;
cc and
, ,
c-acp as
pn22 you
vvb say
, ,
pc-acp There
vbd was
pns31 'a
n-vvg gaming
; ;
pc-acp there
vvd o'ertook
p-acp|po31 in's
vvb rouse
; ;
a-acp There
vvg falling
av out
pp at
n1 tennis
: :
” ”
cc or
av perchance
, ,
“ “
pns11 I
vvd saw
pno31 him
vvi enter
d such
dt a
n1 house
pp-f of
n1 sale
, ,
” ”
fw-la Videlicet
, ,
dt a
n1 brothel
, ,
cc or
av so
av forth
. .
vvb See
pn22 you
av now
; ;
po22 Your
n1 bait
pp-f of
n1 falsehood
vvz takes
d this
n1 carp
pp-f of
n1 truth
: :
cc And
av thus
vdb do
pns12 we
pp-f of
n1 wisdom
cc and
pp-f of
n1 reach
, ,
pp With
n2 windlasses
cc and
pp with
n2 assays
pp-f of
n1 bias
, ,
p-acp By
n2 indirections
vvb find
n2 directions
av out
: :
av So
p-acp by
po11 my
j former
n1 lecture
cc and
n1 advice
, ,
vmb Shall
pn22 you
po11 my
n1 son
. .
pn22 You
vhb have
pno11 me
, ,
vhb have
pn22 you
xx not
? ?
po11 My
n1 lord
, ,
pns11 I
vhb have
. .
np1 God
uh buy
pn22 ye
; ;
vvb fare
pn22 ye
av well
. .
j Good
po11 my
n1 lord
! !
vvb Observe
po31 his
n1 inclination
p-acp in
px21 yourself
. .
pns11 I
vmb shall
, ,
po11 my
n1 lord
. .
cc And
vvb let
pno31 him
vvi ply
po31 his
n1 music
. .
uh-av Well
, ,
po11 my
n1 lord
. .
uh-n Farewell
! !
uh-crq How
av now
, ,
np1 Ophelia
! !
q-crq|vbz what's
dt the
n1 matter
? ?
uh O
, ,
po11 my
n1 lord
, ,
po11 my
n1 lord
, ,
pns11 I
vhb have
vbn been
av so
vvn affrighted
! !
pp With
q-crq what
, ,
p-acp i'
dt the
n1 name
pp-f of
np1 God
? ?
po11 My
n1 lord
, ,
c-acp as
pns11 I
vbd was
vvg sewing
p-acp in
po11 my
n1 closet
, ,
n1 Lord
np1 Hamlet
, ,
pp with
po31 his
n1 doublet
d all
j unbraced
; ;
dx No
n1 hat
p-acp upon
po31 his
n1 head
; ;
po31 his
n2 stockings
vvn fouled
, ,
j Ungartered
, ,
cc and
j down-gyved
p-acp to
po31 his
n1 ancle
; ;
j Pale
c-acp as
po31 his
n1 shirt
; ;
po31 his
n2 knees
vvg knocking
d each
n-jn other
; ;
cc And
pp with
dt a
n1 look
av so
j piteous
p-acp in
n1 purport
c-acp As
cs if
pns31 he
vhd had
vbn been
vvn loosed
av out
pp-f of
n1 hell
pc-acp To
vvi speak
pp-f of
n2 horrors
, ,
pns31 he
vvz comes
p-acp before
pno11 me
. .
j Mad
p-acp for
po21 thy
n1 love
? ?
po11 My
n1 lord
, ,
pns11 I
vdb do
xx not
vvi know
; ;
cc-acp But
av-j truly
, ,
pns11 I
vdb do
vvi fear
pn31 it
. .
q-crq What
vvd said
pns31 he
? ?
pns31 He
vvd took
pno11 me
p-acp by
dt the
n1 wrist
cc and
vvd held
pno11 me
av-j hard
; ;
av Then
vvz goes
pns31 he
p-acp to
dt the
n1 length
pp-f of
d all
po31 his
n1 arm
; ;
cc And
, ,
pp with
po31 his
j-jn other
n1 hand
av thus
p-acp o'er
po31 his
n1 brow
, ,
pns31 He
vvz falls
p-acp to
d such
n1 perusal
pp-f of
po11 my
n1 face
c-acp As
pns31 he
vmd would
vvi draw
pn31 it
. .
av-j Long
vvd stayed
pns31 he
av so
; ;
pp At
ord last
, ,
dt a
j little
n-vvg shaking
pp-f of
po11 mine
n1 arm
cc And
av thrice
po31 his
n1 head
av thus
vvg waving
a-acp up
cc and
a-acp down
, ,
pns31 He
vvd raised
dt a
n1 sigh
av so
j piteous
cc and
j profound
c-acp As
pn31 it
vdd did
vvi seem
pc-acp to
vvi shatter
d all
po31 his
n1 bulk
cc And
vvi end
po31 his
vbg being
: :
d that
vdn done
, ,
pns31 he
vvz lets
pno11 me
vvi go
: :
cc And
, ,
pp with
po31 his
n1 head
p-acp over
po31 his
n1 shoulder
vvd turned
, ,
pns31 He
vvd seemed
pc-acp to
vvi find
po31 his
n1 way
p-acp without
po31 his
n2 eyes
; ;
c-acp For
av out
pp-f a'
n2 doors
pns31 he
vvd went
p-acp without
po32 their
n2 helps
, ,
cc And
, ,
p-acp to
dt the
ord last
, ,
vvd bended
po32 their
n1 light
p-acp on
pno11 me
. .
vvb Come
, ,
vvb go
pp with
pno11 me
: :
pns11 I
vmb will
vvi go
vvi seek
dt the
n1 king
. .
d This
vbz is
dt the
j very
n1 ecstasy
pp-f of
n1 love
, ,
r-crq Whose
j violent
n1 property
vvz fordoes
px31 itself
cc And
vvz leads
dt the
n1 will
p-acp to
j desperate
n2 undertakings
a-acp As
av oft
c-acp as
d any
n2 passions
p-acp under
n1 heaven
cst That
vdz does
vvi afflict
po12 our
n2 natures
. .
pns11 I
vbm am
j sorry
. .
q-crq What
, ,
vhb have
pn22 you
vvn given
pno31 him
d any
j hard
n2 words
pp-f of
av-j late
? ?
uh-dx No
, ,
po11 my
j good
n1 lord
, ,
cc-acp but
, ,
c-acp as
pn22 you
vdd did
vvi command
, ,
pns11 I
vdd did
vvi repel
po31 his
n2 letters
cc and
vvd denied
po31 His
n1 access
p-acp to
pno11 me
. .
d That
vhz hath
vvn made
pno31 him
j mad
. .
pns11 I
vbm am
j sorry
cst that
pp with
jc better
n1 heed
cc and
n1 judgement
pns11 I
vhd had
xx not
vvn quoted
pno31 him
: :
pns11 I
vvd feared
pns31 he
vdd did
p-acp but
vvi trifle
, ,
cc And
vvd meant
pc-acp to
vvi wrack
pno21 thee
; ;
cc-acp but
, ,
vvb beshrew
po11 my
n1 jealousy
! !
p-acp By
n1 heaven
, ,
pn31 it
vbz is
a-acp as
j proper
p-acp to
po12 our
n1 age
pc-acp To
vvi cast
p-acp beyond
px12 ourselves
p-acp in
po12 our
n2 opinions
c-acp As
pn31 it
vbz is
j common
p-acp for
dt the
jc younger
n1 sort
pc-acp To
vvi lack
n1 discretion
. .
vvb Come
, ,
vvb go
pns12 we
p-acp to
dt the
n1 king
: :
d This
vmb must
vbi be
vvn known
; ;
r-crq which
, ,
vbg being
vvn kept
j close
, ,
vmd might
vvi move
d More
n1 grief
pc-acp to
vvi hide
cs than
n1 hate
pc-acp to
vvi utter
n1 love
. .
vvb Come
. .
uh-jn Welcome
, ,
j-jn dear
np1 Rosencrantz
cc and
np1 Guildenstern
! !
av Moreover
cst that
pns12 we
av-d much
vdd did
vvi long
pc-acp to
vvi see
pn22 you
, ,
dt The
n1 need
pns12 we
vhi have
pc-acp to
vvi use
pn22 you
vdd did
vvi provoke
po12 Our
j hasty
n-vvg sending
. .
pi Something
vhb have
pn22 you
vvn heard
pp-f Of
npg1 Hamlet's
n1 transformation
; ;
av so
vvb call
pn31 it
, ,
a-acp Sith
ccx nor
dt the
j-jn exterior
ccx nor
dt the
j inward
n1 man
vvz Resembles
cst that
pn31 it
vbd was
. .
r-crq What
pn31 it
vmd should
vbi be
, ,
d More
cs than
po31 his
ng1 father's
n1 death
, ,
cst that
av thus
vhz hath
vvn put
pno31 him
av So
av-d much
pp from
dt the
n1 understanding
pp-f of
px31 himself
, ,
pns11 I
vmbx cannot
vvi dream
pp-f of
: :
pns11 I
vvb entreat
pn22 you
av-d both
, ,
cst That
, ,
vbg being
pp-f of
av so
j young
n2 days
vvn brought
a-acp up
pp with
pno31 him
, ,
cc And
a-acp sith
av so
vvn neighboured
p-acp to
po31 his
n1 youth
cc and
n1 haviour
, ,
cst That
pn22 you
vvb vouchsafe
po22 your
n1 rest
av here
p-acp in
po12 our
n1 court
d Some
j little
n1 time
: :
av so
p-acp by
po22 your
n2 companies
pc-acp To
vvi draw
pno31 him
p-acp on
p-acp to
n2 pleasures
, ,
cc and
pc-acp to
vvi gather
, ,
av So
av-d much
c-acp as
pp from
n1 occasion
pn22 you
vmb may
vvi glean
, ,
cs Whether
pi aught
, ,
p-acp to
pno12 us
j unknown
, ,
vvz afflicts
pno31 him
av thus
, ,
cst That
, ,
vvn opened
, ,
vvz lies
p-acp within
po12 our
n1 remedy
. .
j Good
n2 gentlemen
, ,
pns31 he
vhz hath
av-d much
vvn talked
pp-f of
pn22 you
; ;
cc And
j sure
pns11 I
vbm am
crd two
n2 men
pc-acp there
vbz is
xx not
vvg living
p-acp To
r-crq whom
pns31 he
av-dc more
vvz adheres
. .
cs If
pn31 it
vmb will
vvi please
pn22 you
pc-acp To
vvi show
pno12 us
av so
d much
n1 gentry
cc and
j good
n1 will
c-acp As
p-acp to
vvb expend
po22 your
n1 time
pp with
pno12 us
av awhile
, ,
p-acp For
dt the
n1 supply
cc and
n1 profit
pp-f of
po12 our
n1 hope
, ,
po22 Your
n1 visitation
vmb shall
vvi receive
d such
n2 thanks
c-acp As
vvz fits
dt a
ng1 king's
n1 remembrance
. .
d Both
po22 your
n2 majesties
vmd Might
, ,
p-acp by
dt the
j-jn sovereign
n1 power
pn22 you
vhb have
pp-f of
pno12 us
, ,
vvb Put
po22 your
n1 dread
n2 pleasures
av-dc more
pp into
n1 command
cs Than
p-acp to
n1 entreaty
. .
cc-acp But
pns12 we
d both
vvb obey
, ,
cc And
av here
vvb give
a-acp up
px12 ourselves
, ,
p-acp in
dt the
j full
n1 bent
pc-acp To
vvi lay
po12 our
n1 service
av-j freely
pp at
po22 your
n2 feet
, ,
pc-acp To
vbi be
vvn commanded
. .
n2 Thanks
, ,
np1 Rosencrantz
cc and
j gentle
np1 Guildenstern
. .
n2 Thanks
, ,
np1 Guildenstern
cc and
j gentle
np1 Rosencrantz
: :
cc And
pns11 I
vvb beseech
pn22 you
av-jn instantly
pc-acp to
vvi visit
po11 My
av too
d much
j-vvn changed
n1 son
. .
vvb Go
, ,
d some
pp-f of
pn22 you
, ,
cc And
vvb bring
d these
n2 gentlemen
c-crq where
np1 Hamlet
vbz is
. .
n2 Heavens
vvb make
po12 our
n1 presence
cc and
po12 our
n2 practices
j Pleasant
cc and
j helpful
p-acp to
pno31 him
! !
uh Ay
, ,
uh-n amen
! !
dt The
n2 ambassadors
pp from
np1 Norway
, ,
po11 my
j good
n1 lord
, ,
vbb Are
av-j joyfully
vvn returned
. .
pns21 Thou
av still
vh2 hast
vbn been
dt the
n1 father
pp-f of
j good
n1 news
. .
vhb Have
pns11 I
, ,
po11 my
n1 lord
? ?
pns11 I
vvb assure
po11 my
j good
n1 liege
, ,
pns11 I
vvb hold
po11 my
n1 duty
, ,
c-acp as
pns11 I
vvb hold
po11 my
n1 soul
, ,
av-d Both
p-acp to
po11 my
np1 God
cc and
p-acp to
po11 my
j gracious
n1 king
: :
cc And
pns11 I
vdb do
vvi think
, ,
cc or
av else
d this
n1 brain
pp-f of
png11 mine
vvz Hunts
xx not
dt the
n1 trail
pp-f of
n1 policy
av so
j sure
c-acp As
pn31 it
vhz hath
vvd used
pc-acp to
vdi do
, ,
cst that
pns11 I
vhb have
vvn found
dt The
j very
n1 cause
pp-f of
npg1 Hamlet's
n1 lunacy
. .
uh O
, ,
vvb speak
pp-f of
d that
; ;
d that
vdb do
pns11 I
vvi long
pc-acp to
vvi hear
. .
vvb Give
ord first
n1 admittance
p-acp to
dt the
n2 ambassadors
; ;
po11 My
n1 news
vmb shall
vbi be
dt the
n1 fruit
p-acp to
d that
j great
n1 feast
. .
px21 Thyself
vdb do
n1 grace
p-acp to
pno32 them
, ,
cc and
vvb bring
pno32 them
p-acp in
. .
pns31 He
vvz tells
pno11 me
, ,
po11 my
j-jn dear
np1 Gertrude
, ,
pns31 he
vhz hath
vvn found
dt The
n1 head
cc and
n1 source
pp-f of
d all
po22 your
ng1 son's
n1 distemper
. .
pns11 I
vvb doubt
pn31 it
vbz is
dx no
n-jn other
p-acp but
dt the
j main
; ;
po31 His
ng1 father's
n1 death
, ,
cc and
po12 our
j o'erhasty
n1 marriage
. .
uh-av Well
, ,
pns12 we
vmb shall
vvi sift
pno31 him
. .
j-jn Welcome
, ,
po11 my
j good
n2 friends
! !
vvb Say
, ,
np1 Voltimand
, ,
r-crq what
pp from
po12 our
n1 brother
np1 Norway
? ?
d Most
j fair
n1 return
pp-f of
n2 greetings
cc and
n2 desires
. .
p-acp Upon
po12 our
ord first
, ,
pns31 he
vvd sent
av out
pc-acp to
vvi suppress
po31 His
ng1 nephew's
n2 levies
; ;
r-crq which
p-acp to
pno31 him
vvd appeared
pc-acp To
vbi be
dt a
n1 preparation
pp 'gainst
dt the
jp Polack
; ;
cc-acp But
, ,
av-jc better
vvn looked
pp into
, ,
pns31 he
av-j truly
vvn found
pn31 It
vbd was
pp against
po22 your
n1 highness
: :
c-crq whereat
vvn grieved
, ,
cst That
av so
po31 his
n1 sickness
, ,
n1 age
cc and
n1 impotence
vbd Was
av-j falsely
vvn borne
p-acp in
n1 hand
, ,
vvz sends
av out
n2 arrests
p-acp On
np1 Fortinbras
; ;
r-crq which
pns31 he
, ,
p-acp in
j brief
, ,
vvz obeys
; ;
vvz Receives
n1 rebuke
pp from
np1 Norway
, ,
cc and
p-acp in
j fine
vvz Makes
n1 vow
p-acp before
po31 his
n1 uncle
av-x never
av-dc more
pc-acp To
vvi give
dt the
n1 assay
pp-f of
n2 arms
pp against
po22 your
n1 majesty
. .
c-crq Whereon
j old
np1 Norway
, ,
vvn overcome
pp with
n1 joy
, ,
vvz Gives
pno31 him
crd threescore
crd thousand
n2 crowns
p-acp in
j annual
n1 fee
, ,
cc And
po31 his
n1 commission
pc-acp to
vvi employ
d those
n2 soldiers
, ,
av So
vvn levied
c-acp as
a-acp before
, ,
pp against
dt the
jp Polack
: :
pp With
dt an
n1 entreaty
, ,
av herein
av-jc further
vvn shown
, ,
cst That
pn31 it
vmd might
vvi please
pn22 you
pc-acp to
vvi give
j-jn quiet
n1 pass
p-acp Through
po22 your
n2 dominions
p-acp for
d this
n1 enterprise
, ,
p-acp On
d such
n2 regards
pp-f of
n1 safety
cc and
n1 allowance
c-acp As
av therein
vbb are
vvn set
a-acp down
. .
pn31 It
vvz likes
pno12 us
av well
; ;
cc And
pp at
po12 our
av-dc more
j-vvn considered
n1 time
pns12|vmb we'll
vvi read
, ,
vvb Answer
, ,
cc and
vvi think
p-acp upon
d this
n1 business
. .
av-an Meantime
pns12 we
vvb thank
pn22 you
p-acp for
po22 your
j-vvn well-took
n1 labour
: :
vvb Go
p-acp to
po22 your
n1 rest
; ;
pp at
n1 night
pns12|vmb we'll
vvi feast
av together
: :
d Most
uh-jn welcome
av-an home
! !
d This
n1 business
vbz is
av well
vvn ended
. .
po11 My
n1 liege
, ,
cc and
n1 madam
, ,
pc-acp to
vvi expostulate
r-crq What
n1 majesty
vmd should
vbi be
, ,
q-crq what
n1 duty
vbz is
, ,
q-crq Why
n1 day
vbz is
n1 day
, ,
n1 night
n1 night
, ,
cc and
n1 time
vbz is
n1 time
, ,
vbd Were
pix nothing
p-acp but
pc-acp to
vvi waste
n1 night
, ,
n1 day
cc and
n1 time
. .
av Therefore
, ,
c-acp since
n1 brevity
vbz is
dt the
n1 soul
pp-f of
n1 wit
, ,
cc And
n1 tediousness
dt the
n2 limbs
cc and
j outward
n2 flourishes
, ,
pns11 I
vmb will
vbi be
j brief
: :
po22 your
j noble
n1 son
vbz is
j mad
: :
j Mad
vvb call
pns11 I
pn31 it
; ;
c-acp for
, ,
pc-acp to
vvi define
j true
n1 madness
, ,
q-crq What
vbz|pn31 is't
p-acp but
pc-acp to
vbi be
pix nothing
av else
p-acp but
j mad
? ?
cc-acp But
vvb let
d that
vvi go
. .
d More
n1 matter
, ,
pp with
dc less
n1 art
. .
n1 Madam
, ,
pns11 I
vvb swear
pns11 I
vvb use
dx no
n1 art
pp at
av-d all
. .
cst That
pns31|vbz he's
j mad
, ,
pn31|vbz 'tis
j true
: :
pn31|vbz 'tis
j true
pn31|vbz 'tis
n1 pity
; ;
cc And
n1 pity
pn31|vbz 'tis
pn31|vbz 'tis
j true
: :
dt a
j foolish
n1 figure
; ;
cc-acp But
uh-n farewell
pn31 it
, ,
c-acp for
pns11 I
vmb will
vvi use
dx no
n1 art
. .
j Mad
vvb let
pno12 us
vvi grant
pno31 him
, ,
av then
: :
cc and
av now
vvz remains
cst That
pns12 we
vvb find
av out
dt the
n1 cause
pp-f of
d this
n1 effect
, ,
cc Or
av-c rather
vvb say
, ,
dt the
n1 cause
pp-f of
d this
n1 defect
, ,
p-acp For
d this
n1 effect
j defective
vvz comes
p-acp by
n1 cause
: :
av Thus
pn31 it
vvz remains
, ,
cc and
dt the
n1 remainder
av thus
. .
vvb Perpend
. .
pns11 I
vhb have
dt a
n1 daughter
— —
vhb have
cs while
pns31 she
vbz is
png11 mine
r-crq Who
, ,
p-acp in
po31 her
n1 duty
cc and
n1 obedience
, ,
vvb mark
, ,
vhz Hath
vvn given
pno11 me
d this
: :
av now
vvb gather
, ,
cc and
vvb surmise
. .
“ “
p-acp To
dt the
j celestial
cc and
po11 my
ng1 soul's
n1 idol
, ,
dt the
av-ds most
j-vvn beautified
np1 Ophelia
, ,
” ”
— —
d|vbz That's
dt an
j-jn ill
n1 phrase
, ,
dt a
j vile
n1 phrase
; ;
“ “
j-vvn beautified
” ”
vbz is
dt a
j vile
n1 phrase
: :
cc-acp but
pn22 you
vmb shall
vvi hear
. .
av Thus
: :
“ “
p-acp In
po31 her
j excellent
j-jn white
n1 bosom
, ,
d these
, ,
av etc.
” ”
vvd Came
d this
pp from
np1 Hamlet
p-acp to
pno31 her
? ?
j Good
n1 madam
, ,
vvb stay
av awhile
; ;
pns11 I
vmb will
vbi be
j faithful
. .
“ “
vvb Doubt
pns21 thou
dt the
n2 stars
vbb are
n1 fire
; ;
vvb Doubt
cst that
dt the
n1 sun
vdz doth
vvi move
; ;
vvb Doubt
n1 truth
pc-acp to
vbi be
dt a
n1 liar
; ;
cc-acp But
av-x never
vvb doubt
pns11 I
vvb love
. .
“ “
uh O
j-jn dear
np1 Ophelia
, ,
pns11 I
vbm am
j-jn ill
pp at
d these
n2 numbers
; ;
pns11 I
vhb have
xx not
n1 art
pc-acp to
vvi reckon
po11 my
n2 groans
: :
